sample_idx,token_idx,word_idx,token_id,token,is_special,is_word_start,label,pred,prob_0,prob_1
0,1,0,716,▁C,False,True,0,0,0.9999533891677856,4.665628512157127e-05
0,3,1,3746,▁era,False,True,0,0,0.9999758005142212,2.4205504814744927e-05
0,4,2,11812,▁una,False,True,0,0,0.9999773502349854,2.265035072923638e-05
0,5,3,75563,▁volta,False,True,0,0,0.9999836683273315,1.6378391592297703e-05
0,6,4,323,▁.,False,True,0,1,0.23148389160633087,0.7685160636901855
0,9,5,377,▁–,False,True,0,0,0.9961004257202148,0.0038996206130832434
0,10,6,3405,▁Un,False,True,0,0,0.9999736547470093,2.6377607355243526e-05
0,11,7,961,▁re,False,True,0,0,0.9999454021453857,5.454628626466729e-05
0,12,8,1084,▁!,False,True,0,0,0.9997305274009705,0.0002694791473913938
0,13,9,377,▁–,False,True,0,0,0.9998867511749268,0.00011323438229737803
0,14,10,30791,▁dir,False,True,0,0,0.999969482421875,3.0479142878903076e-05
0,16,11,2698,▁sub,False,True,0,0,0.999987006187439,1.2956419595866464e-05
0,18,12,584,▁i,False,True,0,0,0.9999867677688599,1.32636678245035e-05
0,19,13,88415,▁mie,False,True,0,0,0.9999825954437256,1.7434689652873203e-05
0,21,14,6485,▁pic,False,True,0,0,0.9999865293502808,1.3420012692222372e-05
0,23,15,678,▁let,False,True,0,0,0.9999897480010986,1.0209440915787127e-05
0,25,16,323,▁.,False,True,1,1,0.1898963898420334,0.8101035952568054
0,26,17,377,▁–,False,True,0,0,0.9081709384918213,0.09182905405759811
0,27,18,585,▁No,False,True,0,0,0.9998989105224609,0.0001011081476463005
0,28,19,307,"▁""",False,True,0,0,0.9999716281890869,2.8409744118107483e-05
0,31,20,21399,▁rag,False,True,0,0,0.999982476234436,1.750292540236842e-05
0,33,21,307,"▁""",False,True,0,0,0.9999778270721436,2.2125666873762384e-05
0,36,22,266,▁a,False,True,0,0,0.9999837875366211,1.618758324184455e-05
0,39,23,63539,▁sb,False,True,0,0,0.9999774694442749,2.2562047888641246e-05
0,42,24,323,▁.,False,True,1,1,0.0011424494441598654,0.9988574981689453
0,43,25,716,▁C,False,True,0,0,0.9999713897705078,2.8632557587116025e-05
0,45,26,3746,▁era,False,True,0,0,0.9999760389328003,2.3923508706502616e-05
0,46,27,11812,▁una,False,True,0,0,0.9999797344207764,2.0303694327594712e-05
0,47,28,75563,▁volta,False,True,0,0,0.9999847412109375,1.5206840544124134e-05
0,48,29,1655,▁un,False,True,0,0,0.9999802112579346,1.9833367332466878e-05
0,49,30,15153,▁pe,False,True,0,0,0.9999877214431763,1.2266898920643143e-05
0,51,31,3752,▁di,False,True,0,0,0.9999836683273315,1.6378391592297703e-05
0,52,32,3540,▁leg,False,True,0,0,0.9999852180480957,1.4738981917616911e-05
0,54,33,323,▁.,False,True,1,1,0.0010182287078350782,0.998981773853302
0,55,34,4718,▁Non,False,True,0,0,0.9999605417251587,3.944258423871361e-05
0,56,35,3746,▁era,False,True,0,0,0.9999772310256958,2.2827996872365475e-05
0,57,36,1655,▁un,False,True,0,0,0.9999836683273315,1.6378391592297703e-05
0,58,37,3540,▁leg,False,True,0,0,0.9999860525131226,1.3900194971938618e-05
0,60,38,3752,▁di,False,True,0,0,0.9999867677688599,1.3211957593739498e-05
0,61,39,20503,▁lu,False,True,0,0,0.999971866607666,2.807876626320649e-05
0,64,40,307,"▁""",False,True,0,0,0.9999873638153076,1.2656288163270801e-05
0,67,41,10386,▁ma,False,True,0,0,0.9999786615371704,2.1361343897297047e-05
0,68,42,1655,▁un,False,True,0,0,0.9999849796295166,1.502967734268168e-05
0,69,43,36199,▁sem,False,True,0,0,0.9999750852584839,2.487648634996731e-05
0,72,44,15153,▁pe,False,True,0,0,0.9999892711639404,1.0741272490122356e-05
0,74,45,5865,▁da,False,True,0,0,0.9999836683273315,1.6314541426254436e-05
0,75,46,3185,▁cat,False,True,0,0,0.9999744892120361,2.556607432779856e-05
0,77,47,307,"▁""",False,True,0,0,0.9999867677688599,1.3211957593739498e-05
0,80,48,3752,▁di,False,True,0,0,0.999987006187439,1.2956419595866464e-05
0,81,49,35266,▁quell,False,True,0,0,0.9999866485595703,1.3315579963091295e-05
0,83,50,13712,▁che,False,True,0,0,0.9999812841415405,1.8704669855651446e-05
0,84,51,1931,▁d,False,True,0,0,0.999984860420227,1.5147556041483767e-05
0,86,52,267,▁in,False,True,0,0,0.9999805688858032,1.9373936083866283e-05
0,89,53,9554,▁si,False,True,0,0,0.999985933303833,1.4009213373356033e-05
0,90,54,1626,▁met,False,True,0,0,0.9999872446060181,1.2705822882708162e-05
0,93,55,2030,▁n,False,True,0,0,0.9999841451644897,1.5812600395292975e-05
